,MSZoning,LotFrontage,LotArea,Street,Utilities,Neighborhood,BldgType,OverallQual,YearBuilt,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinType2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,PavedDrive,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SaleType,SaleCondition,SalePrice
0,RL,65.0,8450,Pave,AllPub,CollgCr,1Fam,7,2003,Gable,CompShg,BrkFace,196.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,856,Ex,Y,SBrkr,856,1710,1,0,2,1,3,1,Gd,8,0,2,Y,61,0,0,0,0,0,WD,Normal,208500
1,RL,80.0,9600,Pave,AllPub,Veenker,1Fam,6,1976,Gable,CompShg,None,0.0,TA,TA,CBlock,Gd,TA,ALQ,Unf,1262,Ex,Y,SBrkr,1262,1262,0,1,2,0,3,1,TA,6,1,2,Y,0,0,0,0,0,0,WD,Normal,181500
2,RL,68.0,11250,Pave,AllPub,CollgCr,1Fam,7,2001,Gable,CompShg,BrkFace,162.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,920,Ex,Y,SBrkr,920,1786,1,0,2,1,3,1,Gd,6,1,2,Y,42,0,0,0,0,0,WD,Normal,223500
3,RL,60.0,9550,Pave,AllPub,Crawfor,1Fam,7,1915,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,Gd,ALQ,Unf,756,Gd,Y,SBrkr,961,1717,1,0,1,0,3,1,Gd,7,1,3,Y,35,272,0,0,0,0,WD,Abnorml,140000
4,RL,84.0,14260,Pave,AllPub,NoRidge,1Fam,8,2000,Gable,CompShg,BrkFace,350.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,1145,Ex,Y,SBrkr,1145,2198,1,0,2,1,4,1,Gd,9,1,3,Y,84,0,0,0,0,0,WD,Normal,250000
5,RL,85.0,14115,Pave,AllPub,Mitchel,1Fam,5,1993,Gable,CompShg,None,0.0,TA,TA,Wood,Gd,TA,GLQ,Unf,796,Ex,Y,SBrkr,796,1362,1,0,1,1,1,1,TA,5,0,2,Y,30,0,320,0,0,700,WD,Normal,143000
6,RL,75.0,10084,Pave,AllPub,Somerst,1Fam,8,2004,Gable,CompShg,Stone,186.0,Gd,TA,PConc,Ex,TA,GLQ,Unf,1686,Ex,Y,SBrkr,1694,1694,1,0,2,0,3,1,Gd,7,1,2,Y,57,0,0,0,0,0,WD,Normal,307000
7,RL,-1.0,10382,Pave,AllPub,NWAmes,1Fam,7,1973,Gable,CompShg,Stone,240.0,TA,TA,CBlock,Gd,TA,ALQ,BLQ,1107,Ex,Y,SBrkr,1107,2090,1,0,2,1,3,1,TA,7,2,2,Y,204,228,0,0,0,350,WD,Normal,200000
8,RM,51.0,6120,Pave,AllPub,OldTown,1Fam,7,1931,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,Unf,Unf,952,Gd,Y,FuseF,1022,1774,0,0,2,0,2,2,TA,8,2,2,Y,0,205,0,0,0,0,WD,Abnorml,129900
9,RL,50.0,7420,Pave,AllPub,BrkSide,2fmCon,5,1939,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,GLQ,Unf,991,Ex,Y,SBrkr,1077,1077,1,0,1,0,2,2,TA,5,2,1,Y,4,0,0,0,0,0,WD,Normal,118000
10,RL,70.0,11200,Pave,AllPub,Sawyer,1Fam,5,1965,Hip,CompShg,None,0.0,TA,TA,CBlock,TA,TA,Rec,Unf,1040,Ex,Y,SBrkr,1040,1040,1,0,1,0,3,1,TA,5,0,1,Y,0,0,0,0,0,0,WD,Normal,129500
11,RL,85.0,11924,Pave,AllPub,NridgHt,1Fam,9,2005,Hip,CompShg,Stone,286.0,Ex,TA,PConc,Ex,TA,GLQ,Unf,1175,Ex,Y,SBrkr,1182,2324,1,0,3,0,4,1,Ex,11,2,3,Y,21,0,0,0,0,0,New,Partial,345000
12,RL,-1.0,12968,Pave,AllPub,Sawyer,1Fam,5,1962,Hip,CompShg,None,0.0,TA,TA,CBlock,TA,TA,ALQ,Unf,912,TA,Y,SBrkr,912,912,1,0,1,0,2,1,TA,4,0,1,Y,0,0,0,176,0,0,WD,Normal,144000
13,RL,91.0,10652,Pave,AllPub,CollgCr,1Fam,7,2006,Gable,CompShg,Stone,306.0,Gd,TA,PConc,Gd,TA,Unf,Unf,1494,Ex,Y,SBrkr,1494,1494,0,0,2,0,3,1,Gd,7,1,3,Y,33,0,0,0,0,0,New,Partial,279500
